dom	sex	house	w	income	lab
30	2	111	6577,76948	4423,014286	1
30	1	111	6577,76948	4423,014286	0
30	2	113	2233,30045	11869,7	3
30	1	114	2000,68966	12417,805	2
30	2	114	2000,68966	12417,805	2
30	1	114	2000,68966	12417,805	1
30	2	115	2251,782	24466,9	3
30	1	115	2251,782	24466,9	1
30	2	115	2251,782	24466,9	3
30	1	117	7700,52126	8182,286957	0
30	2	117	7700,52126	8182,286957	0
30	2	117	7700,52126	8182,286957	2
30	1	117	7700,52126	8182,286957	2
30	1	118	3661,22803	3465,3	2
30	2	119	2802,81122	22800,2	2
30	1	119	2802,81122	22800,2	2
30	2	119	2802,81122	22800,2	1
30	1	119	2802,81122	22800,2	3
30	2	120	4060,82809	9000,7	3
30	2	121	3614,30274	14090,60556	0
30	1	121	3614,30274	14090,60556	1
30	2	121	3614,30274	14090,60556	1
30	2	122	2232,27897	8390,111111	0
30	2	122	2232,27897	8390,111111	2
30	1	122	2232,27897	8390,111111	1
33	1	123	2249,7807	3359,666667	2
33	2	123	2249,7807	3359,666667	3
33	2	124	2238,50798	9415,4	3
33	2	125	1618,9705	12274,3	3
33	2	126	2147,21048	11134	1
33	1	126	2147,21048	11134	1
33	1	127	4469,72473	715,6111111	0
33	2	127	4469,72473	715,6111111	2
33	1	127	4469,72473	715,6111111	2
33	2	128	3900,04828	9019,75	3
33	1	130	1312,1805	2561,533333	2
33	2	130	1312,1805	2561,533333	2
33	1	131	5668,06972	2695	3
33	2	131	5668,06972	2695	3
33	2	131	5668,06972	2695	3
33	2	131	5668,06972	2695	1
33	2	131	5668,06972	2695	3
33	1	131	5668,06972	2695	3
33	2	132	1858,92657	232,7826087	0
33	2	132	1858,92657	232,7826087	3
33	1	132	1858,92657	232,7826087	1
33	2	132	1858,92657	232,7826087	3
33	2	133	1032,52876	10503,53333	1
33	2	133	1032,52876	10503,53333	1
33	1	134	2202,14667	13109,38667	1
33	2	134	2202,14667	13109,38667	3
33	2	135	3279,60748	11106,15	3
33	1	135	3279,60748	11106,15	3
33	2	135	3279,60748	11106,15	3
33	2	137	2318,88558	6740,92	3
33	1	137	2318,88558	6740,92	2
33	1	137	2318,88558	6740,92	1
33	2	137	2318,88558	6740,92	3
32	2	138	494,23479	12472,97	1
32	2	139	2711,84776	8817,3	3
32	2	140	1272,78314	24097,2381	1
32	1	140	1272,78314	24097,2381	1
32	2	140	1272,78314	24097,2381	0
32	1	140	1272,78314	24097,2381	0
32	1	141	1445,31335	21878,096	3
32	2	141	1445,31335	21878,096	2
32	2	141	1445,31335	21878,096	3
32	2	141	1445,31335	21878,096	3
32	1	142	2189,3529	8790,785714	1
32	2	142	2189,3529	8790,785714	1
32	1	142	2189,3529	8790,785714	0
32	1	142	2189,3529	8790,785714	3
32	1	142	2189,3529	8790,785714	3
32	1	143	2164,96436	62556,812	1
32	1	143	2164,96436	62556,812	1
32	1	143	2164,96436	62556,812	3
32	2	143	2164,96436	62556,812	1
32	1	144	1809,45762	23760,66	1
32	2	144	1809,45762	23760,66	2
29	2	145	4620,52862	11678,93333	1
29	1	145	4620,52862	11678,93333	1
29	2	146	1345,41509	6736,48	3
29	1	146	1345,41509	6736,48	1
29	1	147	5008,38276	11064,6	1
29	1	148	1952,93378	20200,19444	0
29	2	148	1952,93378	20200,19444	2
29	1	148	1952,93378	20200,19444	1
29	1	149	2709,55341	16634,26667	1
29	2	149	2709,55341	16634,26667	1
29	2	150	2310,80928	7688,266667	3
29	1	150	2310,80928	7688,266667	3
29	1	151	1311,3011	20339,9375	0
29	2	151	1311,3011	20339,9375	1
29	2	151	1311,3011	20339,9375	0
29	2	152	1949,12144	18501,33333	0
29	2	152	1949,12144	18501,33333	1
29	1	152	1949,12144	18501,33333	1
33	2	153	1599,02934	32469,6	1
33	1	153	1599,02934	32469,6	1
33	1	154	1764,60483	10132,57143	0
33	1	154	1764,60483	10132,57143	0
33	2	154	1764,60483	10132,57143	1
33	1	154	1764,60483	10132,57143	2
33	1	155	8848,78266	7899,133333	3
33	2	155	8848,78266	7899,133333	3
34	2	156	850,07647	11513,2	3
34	2	157	850,07647	12042	3
34	1	158	2379,68143	19954,25	3
34	2	158	2379,68143	19954,25	1
34	1	158	2379,68143	19954,25	1
34	2	159	1746,50585	12276,4	1
34	1	159	1746,50585	12276,4	3
34	1	160	2940,66642	16962,8	1
34	2	160	2940,66642	16962,8	1
34	1	160	2940,66642	16962,8	3
34	2	161	2649,44846	501,1	3
34	1	162	2120,00123	13061,8	3
34	2	162	2120,00123	13061,8	2
34	1	163	3643,18501	9304,908333	0
34	1	163	3643,18501	9304,908333	0
34	1	163	3643,18501	9304,908333	0
34	1	163	3643,18501	9304,908333	1
34	2	163	3643,18501	9304,908333	2
34	2	164	3900,56181	30156,8	3
34	1	164	3900,56181	30156,8	3
34	2	165	1455,24485	7633,34	1
34	1	165	1455,24485	7633,34	2
34	2	165	1455,24485	7633,34	3
30	1	168	3344,631	10317,1	2
30	1	169	1453,97344	4767,01	3
30	2	169	1453,97344	4767,01	1
30	1	169	1453,97344	4767,01	2
30	1	170	617,03468	16247,68667	2
30	2	170	617,03468	16247,68667	1
28	1	171	1409,71079	15470,22222	1
28	2	171	1409,71079	15470,22222	0
28	2	171	1409,71079	15470,22222	2
28	2	172	1823,01285	5371,933333	2
28	2	172	1823,01285	5371,933333	3
28	1	174	2077,62211	5874,769565	3
28	2	174	2077,62211	5874,769565	2
28	2	174	2077,62211	5874,769565	0
28	1	174	2077,62211	5874,769565	2
28	1	175	2603,01645	10217,36667	1
28	2	175	2603,01645	10217,36667	0
28	2	175	2603,01645	10217,36667	0
28	2	175	2603,01645	10217,36667	1
28	1	177	2705,74888	9822,569231	0
28	1	177	2705,74888	9822,569231	0
28	2	177	2705,74888	9822,569231	3
28	1	177	2705,74888	9822,569231	1
28	2	177	2705,74888	9822,569231	3
6	2	854	1745,67024	20746,56522	0
6	2	854	1745,67024	20746,56522	0
6	2	854	1745,67024	20746,56522	3
6	1	854	1745,67024	20746,56522	1
6	1	855	3422,38033	11427,2	3
6	1	855	3422,38033	11427,2	1
6	2	855	3422,38033	11427,2	1
6	2	856	2336,95877	3348,206667	2
6	1	856	2336,95877	3348,206667	2
6	2	857	2782,1218	6917,52	3
6	2	857	2782,1218	6917,52	3
6	1	857	2782,1218	6917,52	1
6	2	857	2782,1218	6917,52	3
6	2	858	1905,91582	17096,42857	0
6	2	858	1905,91582	17096,42857	1
6	1	858	1905,91582	17096,42857	1
6	1	858	1905,91582	17096,42857	0
6	2	859	1699,21011	30749,52	1
6	2	859	1699,21011	30749,52	3
6	2	859	1699,21011	30749,52	1
6	1	859	1699,21011	30749,52	1
6	2	860	1743,56983	33275,95	3
6	2	860	1743,56983	33275,95	3
6	1	860	1743,56983	33275,95	1
6	2	861	2016,53015	7365,066667	3
6	1	861	2016,53015	7365,066667	3
21	2	1693	931,35507	21818,86667	3
21	1	1693	931,35507	21818,86667	1
20	1	2744	1672,00633	14221,68571	0
20	2	2744	1672,00633	14221,68571	0
20	2	2744	1672,00633	14221,68571	1
20	1	2744	1672,00633	14221,68571	2
20	2	2746	1543,17366	9463,533333	3
20	1	2746	1543,17366	9463,533333	3
20	1	2747	550,74301	4325,657143	1
20	2	2747	550,74301	4325,657143	0
20	2	2747	550,74301	4325,657143	0
20	2	2747	550,74301	4325,657143	2
20	1	2748	2444,9922	13730,6	1
20	1	2749	1302,2967	5389,434783	0
20	2	2749	1302,2967	5389,434783	2
20	2	2749	1302,2967	5389,434783	3
20	1	2749	1302,2967	5389,434783	3
20	1	2750	1312,13716	25720,8	3
20	2	2750	1312,13716	25720,8	3
14	2	2752	2773,20598	11370,33333	0
14	1	2752	2773,20598	11370,33333	1
14	2	2752	2773,20598	11370,33333	3
14	1	2752	2773,20598	11370,33333	0
14	2	2753	2720,3513	16917,46667	0
14	2	2753	2720,3513	16917,46667	3
14	1	2753	2720,3513	16917,46667	1
14	2	2754	1997,39848	35923,1	1
14	1	2755	1842,98149	19943,68889	0
14	1	2755	1842,98149	19943,68889	1
14	2	2755	1842,98149	19943,68889	1
14	1	2756	774,74062	6551,166667	1
14	2	2756	774,74062	6551,166667	0
14	2	2756	774,74062	6551,166667	2
20	1	2757	1291,92153	10475,04762	2
20	2	2757	1291,92153	10475,04762	2
20	1	2757	1291,92153	10475,04762	0
20	1	2757	1291,92153	10475,04762	0
20	2	2758	1543,17366	11224,66667	3
20	1	2758	1543,17366	11224,66667	3
20	1	2759	2298,78998	13779,3	3
20	1	2760	889,53988	14111,27	2
20	2	2760	889,53988	14111,27	2
20	2	2760	889,53988	14111,27	2
20	1	2761	2506,89178	9540,85	3
20	1	2761	2506,89178	9540,85	2
20	2	2761	2506,89178	9540,85	3
20	1	2762	851,96378	15030,15714	0
20	1	2762	851,96378	15030,15714	1
20	2	2762	851,96378	15030,15714	3
20	1	2762	851,96378	15030,15714	0
20	2	2763	1578,35018	17110,33333	0
20	1	2763	1578,35018	17110,33333	1
20	2	2763	1578,35018	17110,33333	1
22	1	2764	1923,6207	11837,8	3
22	2	2765	1201,49076	10862,86667	3
22	1	2765	1201,49076	10862,86667	3
22	1	2767	1603,7602	6694,6	3
22	2	2767	1603,7602	6694,6	2
22	2	2767	1603,7602	6694,6	3
22	2	2768	1490,73061	11693,94444	0
22	1	2768	1490,73061	11693,94444	1
22	2	2768	1490,73061	11693,94444	1
22	1	2769	2363,24693	10712,992	3
22	1	2769	2363,24693	10712,992	1
22	2	2769	2363,24693	10712,992	1
22	1	2769	2363,24693	10712,992	3
23	1	2770	2026,43245	7602,333333	0
23	2	2770	2026,43245	7602,333333	0
23	2	2770	2026,43245	7602,333333	2
23	1	2770	2026,43245	7602,333333	2
23	2	2771	611,39543	17013,1	3
20	2	2772	2853,66831	19109,2	1
20	2	2772	2853,66831	19109,2	1
20	2	2772	2853,66831	19109,2	3
20	1	2772	2853,66831	19109,2	1
20	2	2773	2709,55341	7912,533333	2
20	1	2773	2709,55341	7912,533333	1
20	1	2774	1378,72337	17022,50645	0
20	1	2774	1378,72337	17022,50645	1
20	2	2774	1378,72337	17022,50645	0
20	2	2774	1378,72337	17022,50645	1
20	2	2774	1378,72337	17022,50645	1
20	1	2774	1378,72337	17022,50645	1
20	2	2775	1704,99914	12344,72222	0
20	2	2775	1704,99914	12344,72222	3
20	1	2775	1704,99914	12344,72222	1
20	2	2776	2777,16051	17889,836	1
20	2	2776	2777,16051	17889,836	3
20	2	2776	2777,16051	17889,836	3
20	1	2776	2777,16051	17889,836	3
20	2	2777	2371,91402	75393,6	1
20	1	2777	2371,91402	75393,6	2
20	1	2777	2371,91402	75393,6	1
20	2	2778	2605,13356	11227,2	3
20	1	2778	2605,13356	11227,2	3
20	2	2779	1964,84608	27194,46667	3
20	1	2779	1964,84608	27194,46667	3
25	1	2781	1360,49735	10426,05484	0
25	1	2781	1360,49735	10426,05484	0
25	2	2781	1360,49735	10426,05484	2
25	2	2781	1360,49735	10426,05484	2
25	1	2781	1360,49735	10426,05484	1
25	2	2781	1360,49735	10426,05484	3
14	1	2783	795,99974	38435,4	1
14	2	2784	841,44618	45271,9	2
14	1	2785	1330,96456	16034,76	1
14	1	2785	1330,96456	16034,76	1
14	2	2785	1330,96456	16034,76	1
14	2	2785	1330,96456	16034,76	1
14	2	2786	1000,26545	3380,25	2
14	1	2786	1000,26545	3380,25	1
14	1	2786	1000,26545	3380,25	3
14	2	2787	1165,77009	26113,57143	0
14	2	2787	1165,77009	26113,57143	1
14	1	2787	1165,77009	26113,57143	2
14	2	2787	1165,77009	26113,57143	0
14	1	2788	1467,62195	30645,52381	0
14	2	2788	1467,62195	30645,52381	0
14	1	2788	1467,62195	30645,52381	1
14	2	2788	1467,62195	30645,52381	1
14	2	2789	1816,89647	41228,835	3
14	1	2789	1816,89647	41228,835	1
14	1	2789	1816,89647	41228,835	1
23	2	2790	1945,08578	4792,73	3
23	2	2790	1945,08578	4792,73	2
23	1	2790	1945,08578	4792,73	3
23	2	2791	2851,39491	9876,6	3
23	1	2791	2851,39491	9876,6	3
23	2	2791	2851,39491	9876,6	1
23	1	2791	2851,39491	9876,6	1
23	2	2793	1791,32083	15456,65	3
23	2	2793	1791,32083	15456,65	2
23	1	2793	1791,32083	15456,65	3
23	2	2794	1504,99169	12993,5	3
23	2	2795	2946,79338	9561,5	3
23	2	2796	3431,42852	11084,2	3
23	1	2796	3431,42852	11084,2	3
20	1	2797	1336,07373	10469,5	1
20	2	2797	1336,07373	10469,5	2
20	1	2797	1336,07373	10469,5	3
20	2	2798	1523,76813	16807,61111	0
20	2	2798	1523,76813	16807,61111	1
20	1	2798	1523,76813	16807,61111	1
20	1	2799	2444,9922	13229,9	1
20	2	2800	1638,93878	7515,605714	3
20	1	2800	1638,93878	7515,605714	2
20	2	2800	1638,93878	7515,605714	2
20	1	2800	1638,93878	7515,605714	2
20	1	2800	1638,93878	7515,605714	3
20	2	2800	1638,93878	7515,605714	3
20	2	2801	2795,93511	15823,4	3
20	1	2801	2795,93511	15823,4	3
20	2	2802	1044,676	11560,53429	3
20	1	2802	1044,676	11560,53429	3
20	1	2802	1044,676	11560,53429	3
20	2	2802	1044,676	11560,53429	1
20	2	2802	1044,676	11560,53429	3
20	1	2802	1044,676	11560,53429	1
20	1	2803	2432,58418	10623,544	3
20	1	2803	2432,58418	10623,544	2
20	2	2803	2432,58418	10623,544	2
20	2	2803	2432,58418	10623,544	3
20	1	2804	1482,14332	22458,36111	0
20	2	2804	1482,14332	22458,36111	1
20	1	2804	1482,14332	22458,36111	1
24	1	2805	1385,01154	11334,13333	3
24	2	2805	1385,01154	11334,13333	3
24	1	2806	443,53952	10488,255	3
24	1	2806	443,53952	10488,255	3
24	2	2806	443,53952	10488,255	2
24	1	2808	2882,40639	13174,2	1
24	1	2809	1291,92153	16067,30952	1
24	1	2809	1291,92153	16067,30952	0
24	1	2809	1291,92153	16067,30952	0
24	2	2809	1291,92153	16067,30952	2
24	2	2810	1555,38322	11376,91304	0
24	1	2810	1555,38322	11376,91304	3
24	2	2810	1555,38322	11376,91304	3
24	1	2810	1555,38322	11376,91304	1
24	2	2811	1531,234	21800,93333	1
24	1	2811	1531,234	21800,93333	2
17	2	2812	676,64154	14610,635	3
17	2	2812	676,64154	14610,635	3
17	1	2812	676,64154	14610,635	1
17	1	2813	2973,99548	27691,16667	2
17	2	2813	2973,99548	27691,16667	3
17	1	2815	1915,65836	6207,677778	2
17	2	2815	1915,65836	6207,677778	3
17	2	2815	1915,65836	6207,677778	0
17	1	2816	1598,17751	21408,66667	1
17	2	2816	1598,17751	21408,66667	1
17	1	2816	1598,17751	21408,66667	0
17	1	2816	1598,17751	21408,66667	0
16	1	2817	2548,39873	20221,455	1
16	1	2817	2548,39873	20221,455	1
16	2	2817	2548,39873	20221,455	3
16	2	2818	1574,50229	15160,42857	0
16	2	2818	1574,50229	15160,42857	1
16	1	2818	1574,50229	15160,42857	0
16	1	2818	1574,50229	15160,42857	1
16	2	2819	2072,32289	12552,68	3
16	2	2819	2072,32289	12552,68	3
16	1	2819	2072,32289	12552,68	1
16	2	2819	2072,32289	12552,68	1
16	2	2821	1577,17037	15606,8	0
16	2	2821	1577,17037	15606,8	2
16	1	2822	2795,39257	6978,65	2
16	2	2823	1403,76167	18405,72	2
16	2	2823	1403,76167	18405,72	1
16	2	2823	1403,76167	18405,72	3
16	1	2823	1403,76167	18405,72	3
13	2	2824	1702,69991	22187,14286	0
13	2	2824	1702,69991	22187,14286	0
13	2	2824	1702,69991	22187,14286	1
13	1	2824	1702,69991	22187,14286	3
15	2	2825	2518,73325	11240,604	3
15	1	2825	2518,73325	11240,604	2
15	2	2825	2518,73325	11240,604	1
15	1	2825	2518,73325	11240,604	2
15	2	2826	3633,87209	17492,77778	0
15	1	2826	3633,87209	17492,77778	1
15	2	2826	3633,87209	17492,77778	1
15	1	2827	4741,98529	12090,9	1
15	2	2828	3844,83136	24059,4	3
15	1	2829	2466,56567	15723,26667	3
15	2	2829	2466,56567	15723,26667	3
15	1	2830	2737,08375	18683,58	3
15	2	2830	2737,08375	18683,58	1
15	1	2830	2737,08375	18683,58	1
15	2	2831	1998,73311	6835,6	3
15	2	2831	1998,73311	6835,6	3
15	2	2832	2206,81516	11802,6	3
15	2	2833	708,05742	16758,3	1
15	1	2834	5141,41751	33871,37778	0
15	2	2834	5141,41751	33871,37778	2
15	1	2834	5141,41751	33871,37778	1
15	2	2835	2176,78484	60000,20667	1
15	1	2835	2176,78484	60000,20667	1
15	2	2836	2106,47417	18583,20333	3
15	1	2836	2106,47417	18583,20333	1
15	2	2836	2106,47417	18583,20333	1
15	1	2836	2106,47417	18583,20333	2
15	1	2836	2106,47417	18583,20333	3
15	1	2837	1598,24911	13667,28077	0
15	2	2837	1598,24911	13667,28077	3
15	2	2837	1598,24911	13667,28077	2
15	1	2837	1598,24911	13667,28077	1
15	1	2837	1598,24911	13667,28077	0
15	2	2839	1655,68511	16228,65217	0
15	2	2839	1655,68511	16228,65217	0
15	1	2839	1655,68511	16228,65217	1
15	2	2839	1655,68511	16228,65217	2
15	2	2840	2525,07541	15748,88889	0
15	2	2840	2525,07541	15748,88889	1
15	1	2840	2525,07541	15748,88889	2
15	2	2841	2253,48405	18097,93333	3
15	1	2841	2253,48405	18097,93333	3
15	2	2843	2114,51049	9541,4	3
15	2	2844	762,98321	18080,07692	1
15	1	2844	762,98321	18080,07692	0
15	2	2845	1567,69031	13299,46667	1
15	2	2845	1567,69031	13299,46667	3
15	1	2846	1963,65588	11448	3
15	2	2846	1963,65588	11448	3
15	1	2847	6122,0119	20421,7	1
15	2	2848	1592,45983	10163,33333	3
15	2	2848	1592,45983	10163,33333	0
15	1	2848	1592,45983	10163,33333	0
15	2	2848	1592,45983	10163,33333	3
15	1	2849	5993,37069	11183,8	2
15	1	2850	3281,64381	4890,39	2
15	1	2851	2009,60764	19720,73333	1
15	2	2851	2009,60764	19720,73333	1
15	1	2852	3732,10981	10466,2	3
15	2	2853	3100,27104	16261,73333	3
15	1	2853	3100,27104	16261,73333	1
15	1	2854	2565,4314	21765,68	1
15	2	2854	2565,4314	21765,68	1
15	2	2855	1226,41957	24229,66667	1
15	2	2855	1226,41957	24229,66667	1
15	2	2856	2214,54843	28924,46	1
15	1	2856	2214,54843	28924,46	2
15	1	2857	2290,79404	16536,4	1
15	2	2857	2290,79404	16536,4	1
15	2	2858	2218,793	25158,4	1
15	1	2858	2218,793	25158,4	3
31	1	3216	5287,23784	14376,53333	3
31	2	3216	5287,23784	14376,53333	3
31	2	3217	5229,287	7130,4	3
31	1	3217	5229,287	7130,4	3
31	2	3218	713,07453	11888	3
32	2	3219	11094,54677	7011,8	1
32	1	3219	11094,54677	7011,8	2
32	2	3220	2316,99232	12802,92	3
32	2	3220	2316,99232	12802,92	1
32	1	3220	2316,99232	12802,92	1
32	2	3220	2316,99232	12802,92	3
32	2	3221	3307,40653	11663,53	1
32	2	3222	1527,29568	20098,66667	3
32	1	3222	1527,29568	20098,66667	3
32	1	3223	1436,27077	10264,39394	0
32	2	3223	1436,27077	10264,39394	0
32	1	3223	1436,27077	10264,39394	3
32	1	3223	1436,27077	10264,39394	1
32	2	3223	1436,27077	10264,39394	3
32	1	3223	1436,27077	10264,39394	2
32	2	3224	1947,58112	7607,230769	0
32	2	3224	1947,58112	7607,230769	1
32	2	3225	1280,93311	17684,82	3
32	2	3225	1280,93311	17684,82	1
32	2	3226	1527,29568	15113,26667	3
32	1	3226	1527,29568	15113,26667	3
32	2	3227	955,58103	14060,3	0
32	2	3227	955,58103	14060,3	3
32	2	3227	955,58103	14060,3	3
32	2	3227	955,58103	14060,3	3
32	1	3227	955,58103	14060,3	1
32	2	3230	2420,65288	8209,8	3
32	1	3231	2319,29261	20401,3	1
32	1	3231	2319,29261	20401,3	3
32	2	3231	2319,29261	20401,3	3
32	2	3232	1718,32927	11655	3
32	1	3233	1565,38211	18666	1
32	2	3233	1565,38211	18666	3
32	1	3235	2335,59339	37120,33333	1
32	2	3235	2335,59339	37120,33333	3
32	2	3238	3888,48924	9134,4	3
27	2	3239	646,45619	46619,14286	0
27	2	3239	646,45619	46619,14286	0
27	1	3239	646,45619	46619,14286	1
27	2	3239	646,45619	46619,14286	1
27	2	3240	1578,53422	7260	3
27	1	3240	1578,53422	7260	3
27	2	3243	1077,75673	24299,75	3
27	2	3243	1077,75673	24299,75	1
27	1	3243	1077,75673	24299,75	2
27	2	3244	1418,20651	14756,08	1
27	2	3244	1418,20651	14756,08	1
27	1	3244	1418,20651	14756,08	1
27	2	3244	1418,20651	14756,08	3
31	1	3245	1552,90885	16747,93333	3
31	2	3245	1552,90885	16747,93333	3
31	2	3246	1678,79505	9941,28	3
31	2	3246	1678,79505	9941,28	0
31	2	3246	1678,79505	9941,28	3
31	1	3246	1678,79505	9941,28	1
31	1	3247	3039,58676	11081,2	3
31	2	3248	1769,99454	7349,92	3
31	2	3248	1769,99454	7349,92	2
31	2	3248	1769,99454	7349,92	3
31	1	3248	1769,99454	7349,92	2
31	1	3249	2271,04386	15196,19	1
31	2	3249	2271,04386	15196,19	1
31	1	3249	2271,04386	15196,19	1
31	1	3250	1696,67793	12925,4	3
31	2	3250	1696,67793	12925,4	2
31	1	3250	1696,67793	12925,4	2
28	1	3252	670,59063	13854,38462	0
28	1	3252	670,59063	13854,38462	0
28	2	3252	670,59063	13854,38462	0
28	2	3252	670,59063	13854,38462	1
28	1	3252	670,59063	13854,38462	1
28	1	3253	1359,23696	10436,45833	0
28	1	3253	1359,23696	10436,45833	1
28	2	3253	1359,23696	10436,45833	3
28	1	3253	1359,23696	10436,45833	0
28	2	3253	1359,23696	10436,45833	0
28	2	3254	1624,57026	27860,47619	0
28	2	3254	1624,57026	27860,47619	0
28	2	3254	1624,57026	27860,47619	1
28	1	3254	1624,57026	27860,47619	1
28	1	3257	503,35965	11071,92222	1
28	1	3257	503,35965	11071,92222	0
28	2	3257	503,35965	11071,92222	2
32	2	3259	832,86711	11184,1	3
32	2	3260	1732,79199	3392	3
32	1	3260	1732,79199	3392	2
32	1	3261	1387,74454	8729,421053	0
32	1	3261	1387,74454	8729,421053	0
32	2	3261	1387,74454	8729,421053	0
32	2	3261	1387,74454	8729,421053	1
33	1	3262	1346,57015	18862,3	1
32	2	3263	854,10473	18225,53	3
32	1	3263	854,10473	18225,53	3
32	2	3263	854,10473	18225,53	1
32	1	3264	1382,58867	26638,8	0
32	2	3264	1382,58867	26638,8	1
32	1	3264	1382,58867	26638,8	1
32	1	3265	555,45803	15817,61111	0
32	2	3265	555,45803	15817,61111	3
32	1	3265	555,45803	15817,61111	3
32	1	3266	1460,9525	13951,19231	0
32	1	3266	1460,9525	13951,19231	0
32	1	3266	1460,9525	13951,19231	3
32	2	3266	1460,9525	13951,19231	2
32	1	3266	1460,9525	13951,19231	1
27	1	3267	703,11298	6436	1
27	1	3267	703,11298	6436	3
27	2	3267	703,11298	6436	1
27	2	3268	1291,56895	2440,521739	0
27	2	3268	1291,56895	2440,521739	3
27	2	3268	1291,56895	2440,521739	3
27	1	3268	1291,56895	2440,521739	1
27	2	3269	794,02793	9119,378571	0
27	1	3269	794,02793	9119,378571	3
27	1	3269	794,02793	9119,378571	3
27	2	3269	794,02793	9119,378571	1
27	1	3269	794,02793	9119,378571	1
27	2	3271	1353,25035	8161,769231	1
27	2	3271	1353,25035	8161,769231	0
27	2	3272	1031,60053	10311,8	3
27	1	3272	1031,60053	10311,8	0
27	1	3272	1031,60053	10311,8	1
27	1	3274	1431,64894	12442,92308	0
27	2	3274	1431,64894	12442,92308	1
27	1	3275	1418,43874	10675,26667	3
27	2	3275	1418,43874	10675,26667	3
27	2	3276	2601,38621	10342	3
27	2	3277	4723,91301	18749,03333	1
27	1	3277	4723,91301	18749,03333	1
33	1	3278	3699,0204	9203,509524	0
33	1	3278	3699,0204	9203,509524	0
33	2	3278	3699,0204	9203,509524	2
33	1	3278	3699,0204	9203,509524	2
33	1	3279	706,44824	22365,26667	1
33	2	3279	706,44824	22365,26667	3
33	2	3281	3360,2938	8476,4	3
33	1	3281	3360,2938	8476,4	3
33	1	3282	2993,01191	13404	3
33	2	3286	3551,72928	19254,29333	3
33	1	3286	3551,72928	19254,29333	3
33	2	3288	5052,56764	17613,06667	3
33	1	3288	5052,56764	17613,06667	1
33	1	3291	5351,90138	1395,307692	0
