"AREA"	"CLUSTER"	"AGE"	"SEX"	"WEIGHT"	"EMPLOYED"	"UNEMPLOYED"	"INACTIVE"	"REGISTERED"	"EDUCATION"	"INCOME"
1	5	65	1	164	0	0	1	0	1	10606
1	5	21	1	167	1	0	0	0	1	32959
1	5	83	2	238	0	0	1	0	1	48345
1	5	42	1	238	0	0	1	0	1	44286
1	5	60	2	176	0	0	1	0	1	33408
1	5	26	2	176	1	0	0	0	3	47005
1	5	22	1	176	1	0	0	0	3	69085
1	5	87	2	132	0	0	1	0	1	31599
1	5	39	1	364	1	0	0	0	2	47005
1	5	81	2	254	0	0	1	0	1	57520
1	5	43	1	254	1	0	0	0	1	44402
2	6	59	2	199	0	0	1	0	1	25939
2	6	22	2	199	0	0	1	0	2	53882
2	6	42	2	181	0	0	1	0	1	40862
2	6	82	1	174	0	0	1	0	1	51781
2	6	81	2	174	0	0	1	0	1	43443
2	6	21	2	160	1	0	0	0	2	49701
2	6	76	1	219	0	0	1	0	1	47343
2	7	78	1	174	0	0	1	0	1	52113
2	7	72	1	231	0	0	1	0	1	47289
2	7	34	1	231	1	0	0	0	1	43158
2	7	61	1	133	1	0	0	0	2	49007
2	7	19	1	133	1	0	0	1	1	35814
2	7	49	1	206	0	1	0	1	1	36444
2	7	34	2	206	1	0	0	0	2	27039
2	8	43	2	150	1	0	0	0	2	48756
2	8	24	2	150	1	0	0	0	2	43996
2	8	23	2	150	1	0	0	0	1	48831
2	8	53	1	239	1	0	0	0	2	43402
2	8	39	1	299	1	0	0	0	2	67964
2	8	23	2	277	1	0	0	0	1	51951
2	8	75	1	177	0	0	1	0	1	53668
2	9	77	2	177	0	0	1	0	1	27651
2	9	34	1	234	1	0	0	0	2	55804
2	9	16	2	234	0	0	1	0	2	34939
2	9	24	2	266	1	0	0	0	2	45969
2	9	33	1	338	1	0	0	0	2	35863
2	9	26	2	338	0	0	1	0	2	60106
2	9	70	1	177	0	0	1	0	1	31965
2	10	69	2	177	0	0	1	0	1	51297
2	10	84	1	140	0	0	1	0	1	34682
2	10	83	2	140	0	0	1	0	1	37912
2	10	45	2	140	1	0	0	0	1	50995
2	10	25	2	222	0	1	0	1	1	43799
2	10	68	1	144	0	0	1	0	1	14806
2	10	40	1	175	1	0	0	0	2	49002
2	10	39	2	175	1	0	0	0	2	70829
2	10	66	1	98	0	0	1	0	1	39138
3	11	59	2	98	0	0	1	0	1	29619
3	11	65	1	144	0	0	1	0	1	29580
3	11	65	2	144	0	0	1	0	1	45370
3	11	27	1	231	1	0	0	0	1	30749
3	11	42	1	162	1	0	0	0	1	54668
3	11	56	2	201	0	0	1	0	1	60919
3	11	32	1	201	1	0	0	0	1	27449
3	11	22	1	201	1	0	0	0	1	47622
3	11	48	1	150	1	0	0	0	1	47191
3	12	42	2	150	1	0	0	0	2	43407
3	12	73	2	242	0	0	1	0	1	47118
3	12	39	1	217	1	0	0	0	2	54990
3	12	43	2	188	0	0	1	0	1	39126
3	12	60	1	198	1	0	0	0	1	38597
3	12	58	2	198	0	0	1	0	1	46506
3	12	33	1	198	1	0	0	0	1	45110
3	12	47	1	165	1	0	0	0	3	64789
3	12	74	1	165	0	0	1	0	2	48990
3	13	66	2	165	0	0	1	0	2	69447
3	13	34	2	165	1	0	0	0	2	52303
3	13	43	1	199	1	0	0	0	3	47241
3	13	39	2	199	1	0	0	0	3	65157
3	13	43	1	177	1	0	0	0	2	59779
3	13	71	2	195	0	0	1	0	2	50016
3	13	35	1	195	1	0	0	0	3	75399
3	13	52	1	172	1	0	0	0	3	51642
3	13	58	1	116	1	0	0	0	1	52786
3	14	55	2	116	0	0	1	0	1	33097
3	14	20	2	116	0	0	1	0	3	55916
3	14	16	1	116	0	0	1	0	2	49033
3	14	41	1	261	1	0	0	0	3	68064
3	14	55	2	117	0	0	1	0	1	40875
3	14	75	1	144	0	0	1	0	1	30984
3	14	55	1	136	0	0	1	0	3	62093
3	14	26	2	165	0	1	0	0	3	47109
3	14	36	1	202	1	0	0	0	3	69377
3	15	71	1	202	0	0	1	0	3	70513
3	15	65	2	202	0	0	1	0	2	64875
3	15	67	2	146	1	0	0	0	2	53266
3	15	42	2	146	1	0	0	0	2	37642
3	15	34	2	190	1	0	0	0	2	45332
3	15	22	2	124	0	0	1	0	2	50557
3	15	41	1	225	1	0	0	0	2	66164
3	15	52	2	137	0	0	1	0	1	32383
3	15	22	2	142	1	0	0	0	2	52029
3	15	57	2	182	1	0	0	0	1	56792
3	15	33	1	182	1	0	0	0	2	54430
4	16	74	2	154	0	0	1	0	1	29199
4	16	55	2	175	1	0	0	0	2	55304
4	16	43	2	150	1	0	0	0	3	49243
4	16	43	2	206	1	0	0	0	3	63781
4	16	21	1	136	1	0	0	0	1	51430
4	16	29	2	174	1	0	0	0	2	50272
4	16	17	1	174	0	0	1	0	1	32613
4	16	29	2	259	0	0	1	0	3	68449
4	16	41	1	168	1	0	0	0	3	48667
4	16	18	2	168	1	0	0	0	2	39055
4	16	43	1	188	1	0	0	0	1	40497
4	17	61	1	173	1	0	0	0	1	34032
4	17	54	2	173	0	0	1	0	1	22035
4	17	27	1	173	1	0	0	0	2	44067
4	17	31	2	243	1	0	0	0	2	59405
4	17	23	2	187	0	1	0	1	3	39029
4	17	20	2	187	0	0	1	0	2	46201
4	17	50	1	141	1	0	0	0	2	53051
4	17	45	2	141	1	0	0	0	2	37209
4	17	24	2	141	1	0	0	0	2	50946
4	17	39	2	199	0	0	1	0	2	45607
4	17	50	1	181	0	0	1	0	3	57180
4	18	30	2	181	1	0	0	0	3	56531
4	18	39	1	217	1	0	0	0	1	41840
4	18	54	2	124	1	0	0	0	1	55578
4	18	16	1	124	0	0	1	0	2	53050
4	18	30	1	187	1	0	0	0	2	44176
4	18	27	1	187	1	0	0	0	1	66926
4	18	24	2	187	1	0	0	0	3	57627
4	18	30	2	187	0	0	1	0	1	54482
4	18	57	2	207	1	0	0	0	1	40670
4	18	23	1	207	1	0	0	0	1	36273
4	18	30	2	190	1	0	0	0	2	47756
4	19	48	1	136	1	0	0	0	1	34562
4	19	17	1	136	0	0	1	0	2	35871
4	19	56	1	179	0	0	1	0	1	37760
4	19	57	2	179	0	0	1	0	1	35440
4	19	45	1	174	1	0	0	0	2	64443
4	19	47	2	144	0	0	1	0	1	44884
4	19	22	1	144	1	0	0	0	1	47655
4	19	23	2	144	1	0	0	0	1	39029
4	19	56	1	169	1	0	0	0	1	40181
4	19	21	2	122	0	0	1	0	2	51057
4	19	43	1	225	1	0	0	0	1	47113
4	20	24	1	179	0	0	1	0	1	32073
4	20	36	1	217	1	0	0	0	1	64930
4	20	40	1	196	1	0	0	0	3	58871
4	20	47	2	196	1	0	0	0	3	65521
4	20	56	1	179	1	0	0	0	2	69423
4	20	51	2	179	0	0	1	0	1	36245
4	20	30	1	179	0	1	0	1	2	22445
4	20	59	2	94	0	0	1	0	1	47341
4	20	44	1	171	1	0	0	0	2	36581
4	20	45	2	171	1	0	0	0	1	31292
4	20	76	1	200	0	0	1	0	1	39496
5	21	31	1	200	1	0	0	0	2	44363
5	21	27	2	200	1	0	0	0	2	42331
5	21	17	1	133	0	0	1	0	2	35972
5	21	40	2	136	0	0	1	0	1	35551
5	21	21	1	136	1	0	0	0	2	54335
5	21	40	1	165	1	0	0	0	2	45165
5	21	44	2	165	1	0	0	0	2	51018
5	21	31	1	241	1	0	0	0	3	59919
5	21	53	1	210	1	0	0	0	1	52578
5	21	46	1	158	1	0	0	0	2	44315
5	22	38	1	158	1	0	0	0	2	46554
5	22	43	1	165	1	0	0	0	2	60448
5	22	41	2	165	1	0	0	0	2	59966
5	22	91	2	142	0	0	1	0	1	51929
5	22	53	1	142	1	0	0	0	1	34176
5	22	25	2	142	1	0	0	0	3	72733
5	22	19	2	142	0	0	1	0	2	58016
5	22	43	2	138	0	0	1	1	2	44753
5	22	16	2	138	0	0	1	0	1	32993
5	22	43	2	131	0	0	1	0	1	45223
5	23	30	2	227	1	0	0	0	3	62343
5	23	25	2	180	1	0	0	0	2	63170
5	23	43	1	174	1	0	0	0	2	67387
5	23	65	1	169	0	0	1	0	1	45037
5	23	41	2	169	1	0	0	0	1	27498
5	23	46	1	131	1	0	0	0	2	42069
5	23	45	1	123	1	0	0	0	1	39538
5	23	41	1	152	1	0	0	0	2	41315
5	23	39	2	152	1	0	0	0	2	37451
5	23	21	2	152	0	0	1	0	2	43165
5	24	84	1	142	0	0	1	0	1	50908
5	24	47	2	137	0	0	1	0	2	47848
5	24	29	2	137	1	0	0	0	2	44398
5	24	20	2	137	0	1	0	0	2	50187
5	24	33	2	227	0	0	1	1	2	49472
5	24	38	2	152	1	0	0	0	1	42562
5	24	21	2	152	0	0	1	0	2	50108
5	24	50	1	150	1	0	0	0	2	44352
5	24	79	1	117	0	0	1	0	1	35308
5	24	49	2	114	0	0	1	0	1	43932
5	25	39	1	144	1	0	0	0	2	46931
5	25	58	1	100	1	0	0	0	1	46280
5	25	45	2	125	1	0	0	0	2	49460
5	25	86	1	126	0	0	1	0	1	20958
5	25	82	2	126	0	0	1	0	1	40232
5	25	76	2	126	0	0	1	0	1	59854
5	25	59	2	112	1	0	0	0	1	25792
5	25	50	1	139	0	0	1	0	1	59522
5	25	47	2	139	1	0	0	0	2	38836
5	25	22	2	139	0	0	1	0	3	67706
6	26	59	1	184	0	0	1	0	1	44795
6	26	53	1	156	1	0	0	0	2	65451
6	26	52	1	138	1	0	0	0	1	36455
6	26	50	2	138	0	0	1	0	1	30150
6	26	21	2	138	1	0	0	0	2	59231
6	26	57	1	141	0	0	1	0	1	29004
6	26	59	2	194	0	0	1	0	2	42954
6	26	26	1	194	1	0	0	0	2	44924
6	27	23	1	194	1	0	0	0	2	68449
6	27	21	2	194	0	0	1	1	2	47745
6	27	54	2	123	0	0	1	0	2	56642
6	27	66	1	123	0	0	1	0	2	61977
6	27	24	1	140	1	0	0	0	2	60050
6	27	23	1	140	1	0	0	0	3	58255
6	27	36	1	268	1	0	0	0	2	30294
6	27	56	1	141	1	0	0	0	1	50534
6	28	26	1	167	1	0	0	0	2	47614
6	28	49	1	167	0	0	1	0	1	39198
6	28	42	1	205	1	0	0	0	1	53190
6	28	80	2	149	0	0	1	0	1	26481
6	28	31	1	268	1	0	0	0	2	49291
6	28	42	1	168	1	0	0	0	2	47439
6	28	42	2	168	1	0	0	0	1	46866
6	28	72	1	239	0	0	1	0	1	44876
6	29	70	2	239	0	0	1	0	1	47927
6	29	27	1	239	1	0	0	0	1	47475
6	29	68	1	146	0	0	1	0	1	47293
6	29	16	1	146	0	0	1	0	2	46841
6	29	38	1	187	1	0	0	0	1	36650
6	29	52	1	151	1	0	0	0	2	39939
6	29	48	2	151	1	0	0	0	2	55686
6	29	46	1	165	1	0	0	0	2	64005
6	30	56	1	131	0	0	1	0	1	54546
6	30	51	2	135	1	0	0	0	2	64389
6	30	43	2	143	1	0	0	0	2	50023
6	30	18	2	143	0	0	1	0	2	43556
6	30	43	1	200	0	1	0	1	3	57693
6	30	42	2	200	0	1	0	1	2	39157
6	30	40	1	200	1	0	0	0	2	55915
6	30	22	1	200	1	0	0	0	2	54290
6	30	40	1	181	1	0	0	0	1	27088
6	30	17	1	181	0	1	0	1	2	46743
6	30	51	1	156	1	0	0	0	1	46590
7	31	70	2	149	0	0	1	0	1	34438
7	31	72	1	149	0	0	1	0	3	60619
7	31	29	1	274	1	0	0	0	2	53335
7	31	26	2	274	1	0	0	0	2	41950
7	31	39	2	205	0	0	1	0	1	24314
7	31	65	2	239	1	0	0	0	1	32031
7	31	25	2	248	1	0	0	0	2	56442
7	31	19	1	117	1	0	0	0	2	52722
7	31	35	2	141	1	0	0	0	3	64540
7	32	62	1	153	0	0	1	0	1	46893
7	32	50	2	153	0	0	1	0	1	32166
7	32	17	1	153	0	0	1	0	1	62643
7	32	26	2	153	1	0	0	0	3	71161
7	32	60	1	193	1	0	0	0	1	47465
7	32	54	2	193	1	0	0	0	1	40527
7	32	20	2	193	0	0	1	0	2	47614
7	32	63	1	151	0	0	1	0	1	42294
7	32	28	2	151	1	0	0	0	2	41982
7	33	47	1	142	1	0	0	0	1	29712
7	33	20	2	142	0	0	1	0	2	47519
7	33	38	2	154	1	0	0	0	2	56574
7	33	34	2	243	1	0	0	0	1	44545
7	33	47	2	196	1	0	0	0	3	47499
7	33	41	1	196	1	0	0	0	1	27503
7	33	49	1	145	1	0	0	0	1	35055
7	33	21	1	145	1	0	0	0	2	59581
7	33	38	1	206	1	0	0	0	2	53568
7	34	41	2	206	1	0	0	0	2	52886
7	34	62	1	128	1	0	0	0	1	29703
7	34	62	2	128	0	0	1	0	1	49868
7	34	33	1	219	1	0	0	0	2	54478
7	34	61	2	219	1	0	0	0	1	53511
7	34	25	1	219	1	0	0	0	2	43238
7	34	21	1	219	0	0	1	0	2	51169
7	34	47	1	140	1	0	0	0	1	32661
7	34	21	2	140	1	0	0	0	3	45390
7	35	67	1	165	0	0	1	0	1	47243
7	35	61	2	165	0	0	1	0	1	46621
7	35	41	2	140	1	0	0	0	2	60312
7	35	16	2	140	0	0	1	0	2	29333
7	35	55	1	154	1	0	0	0	1	47179
7	35	33	2	154	1	0	0	0	3	57797
7	35	60	1	108	1	0	0	0	1	50513
7	35	59	2	108	1	0	0	0	1	33820
7	35	43	1	162	1	0	0	0	3	70203
7	35	41	2	162	1	0	0	0	2	40225
7	35	29	1	309	1	0	0	0	3	66611
7	35	59	1	137	0	1	0	0	2	41499
8	36	52	2	137	1	0	0	0	2	29729
8	36	52	1	138	1	0	0	0	1	22551
8	36	46	2	138	1	0	0	0	1	34346
8	36	19	2	138	1	0	0	0	1	37517
8	36	51	2	202	1	0	0	0	2	68399
8	36	80	2	144	0	0	1	0	1	33971
8	36	26	2	175	1	0	0	0	2	37602
8	36	73	1	133	0	0	1	0	1	37157
8	36	56	1	133	1	0	0	0	2	57305
8	37	53	2	133	1	0	0	0	1	50541
8	37	20	2	133	0	0	1	0	2	65450
8	37	25	1	173	0	0	1	0	3	47201
8	37	21	2	173	1	0	0	0	2	45129
8	37	54	2	121	1	0	0	0	1	52174
8	37	42	2	188	1	0	0	0	1	47971
8	37	41	1	188	0	1	0	1	1	14643
8	37	44	1	206	1	0	0	0	1	43738
8	37	28	2	222	1	0	0	0	2	49752
8	38	38	1	243	1	0	0	0	1	38554
8	38	38	1	217	1	0	0	0	2	45456
8	38	27	2	179	1	0	0	0	3	50791
8	38	44	1	162	1	0	0	0	1	28096
8	38	40	2	162	1	0	0	0	1	28959
8	38	18	1	162	1	0	0	0	1	30549
8	38	61	1	168	0	0	1	0	1	38802
8	38	24	1	168	1	0	0	0	1	46780
8	38	17	2	168	0	0	1	0	1	37615
8	39	28	2	168	0	0	1	0	2	44630
8	39	57	1	171	1	0	0	0	2	43207
8	39	55	2	171	0	0	1	0	1	54455
8	39	59	2	122	0	0	1	1	1	45910
8	39	21	1	122	1	0	0	0	2	44509
8	39	77	1	134	0	0	1	0	1	48405
8	39	45	2	147	0	0	1	0	1	33316
8	39	47	1	147	1	0	0	0	1	45365
8	39	46	1	178	1	0	0	0	1	45130
8	40	42	1	178	1	0	0	0	1	46749
8	40	48	1	160	1	0	0	0	1	39019
8	40	52	2	122	1	0	0	0	2	55844
8	40	24	1	122	1	0	0	0	2	62171
8	40	16	2	132	0	0	1	0	1	30548
8	40	29	2	265	1	0	0	0	2	47283
8	40	57	1	137	0	0	1	0	1	33272
8	40	53	2	137	1	0	0	0	1	53385
8	40	55	2	133	1	0	0	0	3	58500
8	40	76	2	133	0	0	1	0	1	23243
8	40	45	1	133	1	0	0	0	3	73092
8	40	29	1	223	1	0	0	0	1	34362
9	41	37	2	223	0	1	0	0	1	30761
9	41	63	2	181	0	0	1	0	1	43127
9	41	44	1	168	1	0	0	0	2	50010
9	41	39	1	206	1	0	0	0	2	60228
9	41	24	1	191	1	0	0	0	2	56446
9	41	16	2	191	0	0	1	0	2	50878
9	41	38	1	297	1	0	0	0	2	37223
9	41	49	1	150	1	0	0	0	3	48610
9	41	60	2	97	0	0	1	0	1	32936
9	41	45	1	130	1	0	0	0	2	56814
9	41	51	2	130	1	0	0	0	3	63112
9	41	83	2	148	0	0	1	0	3	70365
9	41	42	1	217	1	0	0	0	2	59192
9	41	32	2	217	0	0	1	1	2	43257
9	41	36	2	209	0	0	1	1	2	52329
9	41	80	2	148	0	0	1	0	2	51719
9	41	26	2	143	1	0	0	0	2	56351
9	41	16	1	143	0	0	1	0	2	42842
9	41	77	2	139	0	0	1	0	1	46446
9	41	60	1	185	1	0	0	0	3	46426
9	41	47	2	129	1	0	0	0	3	67738
9	41	22	1	129	0	0	1	1	2	40372
9	41	43	2	112	1	0	0	0	3	65204
9	41	67	1	129	0	0	1	0	2	47059
9	41	52	1	133	0	0	1	0	1	43479
9	42	21	1	133	1	0	0	0	1	40140
9	42	52	2	122	0	0	1	0	1	54794
9	42	24	1	122	1	0	0	0	2	66467
9	42	21	2	122	1	0	0	1	2	47106
9	42	41	2	112	1	0	0	0	3	62683
9	42	51	2	149	1	0	0	0	1	44406
9	42	29	2	149	0	0	1	1	3	62980
9	42	63	1	183	0	0	1	0	1	29342
9	42	53	2	183	0	0	1	0	1	43330
9	42	56	1	162	0	0	1	0	1	49996
9	42	28	1	192	1	0	0	0	1	33075
9	42	62	1	183	1	0	0	0	1	39306
9	42	59	1	136	1	0	0	0	1	34807
9	42	48	2	136	0	0	1	0	1	48037
9	42	23	2	136	1	0	0	0	2	46121
9	42	56	2	211	0	0	1	0	2	50600
9	42	32	1	211	1	0	0	0	3	59144
9	42	46	2	178	1	0	0	0	1	52324
9	42	38	1	178	1	0	0	0	1	31495
9	42	21	2	178	0	0	1	0	2	57340
9	42	54	1	176	1	0	0	0	2	35331
9	42	43	1	162	1	0	0	0	2	42075
9	42	33	1	209	0	0	1	0	2	50148
9	42	59	1	162	1	0	0	0	1	43274
9	42	56	2	162	0	0	1	0	1	41053
9	43	27	1	162	1	0	0	0	3	51555
9	43	22	1	162	0	0	1	0	2	57748
9	43	65	1	129	0	0	1	0	1	45378
9	43	37	1	209	1	0	0	0	2	52602
9	43	42	1	191	1	0	0	0	2	50354
9	43	38	2	191	1	0	0	0	1	51915
9	43	29	1	297	0	1	0	0	2	52622
9	43	75	1	129	0	0	1	0	1	37748
9	43	75	2	176	0	0	1	0	1	31417
9	43	54	1	153	1	0	0	0	1	35692
9	43	84	2	139	0	0	1	0	1	37050
9	43	43	2	116	0	0	1	0	1	27844
9	43	41	2	123	0	0	1	0	1	37211
9	43	23	1	123	0	1	0	1	1	22041
9	43	18	2	123	0	1	0	1	2	33113
9	43	39	2	131	1	0	0	0	1	50825
9	43	20	1	131	1	0	0	0	2	62257
9	43	70	2	148	0	0	1	0	1	40274
9	43	70	2	166	0	0	1	0	1	38488
9	43	54	1	165	0	0	1	0	1	47872
9	43	60	1	128	1	0	0	0	2	49602
9	43	18	2	128	0	0	1	0	2	33596
9	43	59	2	180	0	0	1	0	1	45399
9	43	22	2	126	0	0	1	1	3	57898
9	43	17	2	126	0	0	1	0	2	52219
9	44	53	2	131	0	0	1	0	1	41908
9	44	66	1	164	0	0	1	0	1	40101
9	44	68	2	164	0	0	1	0	1	43823
9	44	25	2	164	0	0	1	1	3	43177
9	44	54	1	180	1	0	0	0	2	47668
9	44	49	2	180	0	0	1	0	1	36509
9	44	27	1	180	1	0	0	0	3	45299
9	44	24	1	180	0	1	0	0	3	49826
9	44	52	1	188	1	0	0	0	1	46899
9	44	53	2	188	0	0	1	0	1	55181
9	44	80	2	148	0	0	1	0	1	47966
9	44	32	1	250	1	0	0	0	3	67502
9	44	71	1	159	0	0	1	0	1	40545
9	44	42	1	159	0	0	1	0	1	30498
9	44	41	2	130	1	0	0	0	2	48280
9	44	41	1	217	1	0	0	0	2	61885
9	44	30	2	217	1	0	0	0	2	45545
9	44	63	1	113	0	0	1	0	1	48532
9	44	46	1	151	1	0	0	0	3	70041
9	44	42	2	144	1	0	0	0	3	48507
9	44	64	1	151	0	0	1	0	3	48038
9	44	26	1	151	0	0	1	0	3	67242
9	44	21	2	151	0	0	1	0	2	68903
9	44	72	2	148	0	0	1	0	2	36675
9	44	50	1	138	1	0	0	0	3	47430
9	45	44	2	138	0	0	1	0	3	60503
9	45	67	2	148	0	0	1	0	2	62272
9	45	43	2	158	0	0	1	0	2	42794
9	45	26	2	158	1	0	0	0	3	76981
9	45	43	1	200	0	0	1	0	1	45959
9	45	21	1	130	0	0	1	1	2	53908
9	45	50	2	181	1	0	0	0	3	60540
9	45	45	1	181	1	0	0	0	3	62958
9	45	26	1	181	1	0	0	0	3	72974
9	45	59	2	104	1	0	0	0	3	72273
9	45	72	1	139	0	0	1	0	3	41454
9	45	32	1	265	1	0	0	0	2	64215
9	45	47	1	177	1	0	0	0	1	49399
9	45	82	1	190	0	0	1	0	1	43823
9	45	42	1	190	0	0	1	1	1	39354
9	45	54	2	209	1	0	0	0	1	31368
9	45	46	2	146	0	0	1	1	2	36575
9	45	68	2	130	0	0	1	0	1	47017
9	45	36	1	235	1	0	0	0	3	66817
9	45	30	2	235	1	0	0	0	2	44128
9	45	79	1	213	0	0	1	0	1	34460
9	45	29	2	213	1	0	0	0	3	61817
9	45	27	2	194	0	0	1	0	2	41293
9	45	75	2	148	0	0	1	0	1	44401
9	45	61	1	125	1	0	0	0	1	41137
10	46	53	2	161	0	0	1	0	1	22531
10	46	27	1	161	1	0	0	0	3	51826
10	46	17	2	161	0	0	1	0	2	53646
10	46	28	2	250	1	0	0	0	2	50032
10	46	45	2	151	1	0	0	0	3	64540
10	46	52	2	240	1	0	0	0	1	50528
10	46	21	1	240	1	0	0	0	2	39830
10	46	46	2	126	1	0	0	0	2	59312
10	47	45	1	131	1	0	0	0	3	64614
10	47	44	2	131	0	0	1	0	2	28440
10	47	23	2	134	0	0	1	0	3	59624
10	47	18	2	134	1	0	0	0	2	44039
10	47	79	1	198	0	0	1	0	2	55261
10	47	71	1	139	0	0	1	0	1	58181
10	47	67	2	139	0	0	1	0	1	31473
10	47	64	2	123	0	0	1	0	1	27296
10	48	36	1	192	1	0	0	0	2	51863
10	48	16	1	192	0	0	1	0	2	39442
10	48	68	1	176	0	0	1	0	2	31762
10	48	28	1	160	1	0	0	0	3	43930
10	48	20	2	160	0	0	1	0	2	50267
10	48	49	2	160	0	0	1	0	1	40421
10	48	18	2	160	0	0	1	0	1	45368
10	48	48	1	144	1	0	0	0	2	46338
10	49	41	2	144	0	0	1	0	2	58494
10	49	58	2	103	1	0	0	0	1	22309
10	49	66	1	103	0	0	1	0	1	52291
10	49	59	1	194	0	0	1	1	1	26538
10	49	59	1	191	1	0	0	0	1	28402
10	49	54	2	191	0	0	1	0	1	32366
10	49	30	2	191	0	0	1	1	1	42731
10	49	68	1	159	0	0	1	0	1	40946
10	50	40	1	153	1	0	0	0	2	57885
10	50	40	2	153	0	0	1	0	2	68231
10	50	20	2	153	1	0	0	0	2	66544
10	50	28	1	223	0	0	1	0	1	43233
10	50	40	2	156	1	0	0	0	1	54617
10	50	18	1	156	0	1	0	1	2	41524
10	50	66	2	148	0	0	1	0	1	33620
10	50	45	1	154	1	0	0	0	1	27957
10	50	17	1	129	1	0	0	0	1	28178
11	51	49	1	140	0	1	0	1	2	63594
11	51	42	2	140	0	0	1	0	3	64634
11	51	41	1	162	1	0	0	0	2	44959
11	51	36	1	235	1	0	0	0	2	43748
11	51	34	2	235	1	0	0	0	2	56459
11	51	33	2	235	0	0	1	1	2	24438
11	51	39	1	235	1	0	0	0	3	63079
11	52	28	2	265	1	0	0	0	3	57343
11	52	34	1	250	1	0	0	0	3	51568
11	52	32	2	250	1	0	0	0	2	45448
11	52	31	1	250	1	0	0	0	1	32482
11	52	34	1	250	1	0	0	0	2	70011
11	52	60	1	162	0	0	1	0	1	54080
11	52	31	2	162	0	1	0	1	2	35563
11	53	26	1	162	1	0	0	0	3	71819
11	53	49	2	119	0	0	1	0	1	41615
11	53	39	2	129	0	0	1	0	1	24999
11	53	57	2	173	0	0	1	0	1	39590
11	53	35	1	173	1	0	0	0	2	50407
11	53	18	2	118	0	0	1	0	2	48994
11	53	53	2	131	0	0	1	0	2	29612
11	54	42	2	112	0	1	0	0	1	20529
11	54	27	2	185	1	0	0	0	2	44703
11	54	69	2	216	0	0	1	0	1	48928
11	54	40	1	217	1	0	0	0	1	43220
11	54	33	2	179	0	0	1	0	1	31020
11	54	31	1	179	0	0	1	0	1	47759
11	54	22	1	179	0	0	1	0	1	42514
11	55	20	1	179	1	0	0	0	2	41820
11	55	22	2	179	0	1	0	0	2	41113
11	55	66	1	136	0	0	1	0	1	49494
11	55	36	2	136	1	0	0	1	3	50097
11	55	60	1	179	0	0	1	0	1	38873
11	55	63	2	179	1	0	0	0	1	31226
11	55	32	2	179	0	0	1	0	1	38169
12	56	61	2	113	0	0	1	0	1	46541
12	56	41	1	191	1	0	0	0	1	47983
12	56	38	2	191	0	0	1	1	2	27403
12	56	64	1	155	0	0	1	0	1	58535
12	56	28	2	155	0	0	1	1	2	52311
12	56	73	1	139	0	0	1	0	1	35994
12	56	28	2	232	0	1	0	1	2	25400
12	56	33	1	250	1	0	0	0	3	57335
12	56	69	2	192	0	0	1	0	1	48268
12	56	27	1	192	1	0	0	0	2	49781
12	56	55	1	132	1	0	0	0	2	58525
